"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2023","33.80","34.91","35.47","32.85","2.24M","-3.07%"
"12/18/2023","34.87","35.39","36.00","34.80","2.00M","-0.68%"
"12/15/2023","35.11","34.73","35.85","34.60","3.06M","1.77%"
"12/14/2023","34.50","35.95","36.00","34.20","5.02M","-4.67%"
"12/13/2023","36.19","37.15","37.25","35.61","6.27M","-1.92%"
"12/12/2023","36.90","37.02","38.25","36.50","7.22M","-1.07%"
"12/11/2023","37.30","38.00","38.50","36.70","8.22M","-0.53%"
"12/08/2023","37.50","35.40","37.99","35.40","13.03M","5.72%"
"12/07/2023","35.47","35.50","36.25","34.80","12.41M","-0.31%"
"12/06/2023","35.58","34.30","36.24","34.30","10.20M","4.55%"
"12/05/2023","34.03","32.33","34.40","32.33","16.99M","4.71%"
"12/04/2023","32.50","31.51","33.60","31.50","9.27M","3.17%"
"12/01/2023","31.50","31.39","31.61","30.52","2.85M","0.80%"
"11/30/2023","31.25","31.75","31.85","30.75","2.77M","-1.70%"
"11/29/2023","31.79","32.00","32.20","31.30","3.56M","-0.25%"
"11/28/2023","31.87","31.75","33.00","31.00","8.69M","0.06%"
"11/27/2023","31.85","30.95","32.74","30.85","7.16M","4.43%"
"11/24/2023","30.50","29.97","31.00","29.97","9.32M","2.69%"
"11/23/2023","29.70","28.60","29.80","28.60","7.84M","4.95%"
"11/22/2023","28.30","27.40","28.70","27.40","6.78M","2.91%"
"11/21/2023","27.50","26.65","27.77","26.65","3.11M","3.19%"
"11/20/2023","26.65","26.62","27.74","26.25","1.44M","0.95%"
"11/17/2023","26.40","25.48","27.40","25.48","4.41M","4.35%"
"11/16/2023","25.30","24.53","25.80","24.40","5.12M","2.22%"
"11/15/2023","24.75","24.35","25.00","24.35","2.35M","0.65%"
"11/14/2023","24.59","24.85","25.08","24.40","3.39M","-0.20%"
"11/13/2023","24.64","24.00","25.10","23.87","7.24M","4.41%"
"11/10/2023","23.60","23.69","23.92","23.43","622.50K","0.34%"
"11/08/2023","23.52","23.30","23.70","23.30","744.50K","0.47%"
"11/07/2023","23.41","23.70","24.00","23.20","658.50K","-0.68%"
"11/06/2023","23.57","23.31","23.80","23.31","202.00K","0.51%"
"11/03/2023","23.45","23.21","23.75","23.00","1.19M","0.86%"
"11/02/2023","23.25","23.50","23.50","23.21","1.14M","-0.26%"
"11/01/2023","23.31","23.39","23.55","23.21","365.50K","-1.56%"
"10/31/2023","23.68","23.20","23.68","23.00","758.50K","2.33%"
"10/30/2023","23.14","23.08","23.20","22.85","489.50K","-0.47%"
"10/27/2023","23.25","23.50","23.74","23.11","375.00K","-1.11%"
"10/26/2023","23.51","23.67","23.90","23.45","549.00K","-0.80%"
"10/25/2023","23.70","23.67","24.40","23.50","2.28M","-0.42%"
"10/24/2023","23.80","23.80","23.90","23.58","267.00K","0.21%"
"10/23/2023","23.75","24.17","24.17","23.60","763.00K","-0.63%"
"10/20/2023","23.90","24.30","24.50","23.86","1.39M","-1.44%"
"10/19/2023","24.25","23.30","24.35","23.30","789.50K","3.54%"
"10/18/2023","23.42","23.75","24.15","23.40","564.00K","-1.18%"
"10/17/2023","23.70","23.00","23.90","22.95","1.89M","2.60%"
"10/16/2023","23.10","23.06","23.25","22.70","373.50K","-0.35%"
"10/13/2023","23.18","22.77","23.20","22.70","405.00K","1.89%"
"10/12/2023","22.75","23.00","23.00","22.75","143.50K","-1.00%"
"10/11/2023","22.98","22.90","23.17","22.60","1.05M","-0.73%"
"10/10/2023","23.15","22.81","23.32","22.81","627.00K","-0.22%"
"10/09/2023","23.20","22.76","23.24","22.60","293.00K","1.00%"
"10/06/2023","22.97","23.14","23.20","22.92","309.00K","-0.56%"
